,Blind_Assessment,Origin
269,"richly berry-toned, sweetly herbaceous. raspberry coulis, lemon verbena, wild honey, cedar, a hint of marjoram in aroma and cup. sweet structure with vibrant acidity; syrupy-smooth mouthfeel. the fruit-forward finish is supported by sweet herb notes and rich aromatic wood suggesting cedar.",ethiopia
270,"citrusy-bright, juicy-sweet, spice-toned. pink grapefruit zest, green peppercorn, honeysuckle, agave syrup, frankincense in aroma and cup. delicately sweet-tart structure with high-toned, vibrant acidity; silky, buoyant mouthfeel. the resonant finish leads with notes of pink grapefruit zest and honeysuckle with green peppercorn and frankincense in the long.",brazil
271,"evaluated as espresso. richly sweet, multi-layered. baking chocolate, honeysuckle, black cherry, hazelnut, fresh-cut oak in aroma and small cup. creamy, viscous mouthfeel; chocolaty, nut-toned finish. in cappuccino-scaled milk, dark chocolate and black cherry take center stage.",brazil
272,"delicately bright, resonantly floral. narcissus, cardamom, honey, bergamot, marjoram in aroma and cup. balanced, sweetly tart structure with vibrant acidity; lively, silky mouthfeel. the long, flavor-laden finish leads with notes of bittersweet citrus and narcissus in the short; cardamom and honey resurface in the long.",panama
273,"richly aromatic, deeply fruit-toned. raspberry jam, almond nougat, lemon balm, cocoa nib, cedar in aroma and cup. gently tart structure with pert acidity; plush, satiny mouthfeel. crisp, fruity, cocoa-toned finish.",ethiopia
274,"delicate, tropical, fruity and floral. strawberry guava, bergamot, cocoa nib, sandalwood, plumeria in aroma and cup. sweet-toned structure with juicy, vibrant acidity; silky, buoyant mouthfeel. resonant, flavor-saturated, very long finish.",guatemala
275,"richly aromatic, complex, multi-layered. lychee, lavender, cocoa nib, hazelnut butter, lemon-thyme in aroma and cup. sweet-savory with lively, juicy acidity; plush, very syrupy mouthfeel. long, resonant, flavor-saturated finish.",hawaii
276,"fruit- and herb-toned. lemon thyme, strawberry, dark chocolate, hazelnut, a hint of rum barrel in aroma and cup. sweet-tart structure with fruit-driven acidity; creamy-smooth mouthfeel. the quiet finish centers around notes of lemon thyme, strawberry and rum barrel.",colombia
277,"spice-toned, complex, deep. baking spices, dates, blood orange, cedar, brown sugar in aroma and cup. sweet structure with bright, lively acidity; crisp, creamy mouthfeel. long, resonant, lingering, integrated finish.",indonesia
278,"remarkably sweet, rich-toned, deeply floral. star jasmine, lychee, dried ginger, cocoa nib, myrrh in aroma and cup. sweetly tart structure with juicy, lively acidity; delicate, very syrupy mouthfeel. crisp, long, fruit- and cocoa-toned finish.",ethiopia
279,"deep, chocolaty, fruit-forward. black cherry, almond nougat, frankincense, fresh-cut oak, honey in aroma and cup. sweet-tart structure with bright, winy acidity; viscous, creamy mouthfeel. focused fruit-forward finish with undertones of honey.",nicaragua
280,"brightly sweet, resonant. green grape, cashew butter, agave syrup, cedar, honeysuckle in aroma and cup. sweet structure with juicy acidity; lightly satiny mouthfeel. the finish centers leads with notes of cashew and green grape.",ethiopia
281,"gently tart, sweetly herbaceous. orange zest, pomegranate, cocoa nib, goat milk yogurt, cedar in aroma and cup. sweet-tart structure with tangy acidity; full, syrupy-smooth mouthfeel. the gently drying finish centers around notes of orange zest and cedar.",philippines
282,"rich-toned, deeply aromatic. dark chocolate, hop flowers, brown sugar, orange zest, hazelnut in aroma and cup. bittersweet structure with gentle, round acidity; velvety mouthfeel. chocolaty finish with undertones of orange zest and hazelnut.",colombia
283,"richly chocolaty, boldly structured. dark chocolate, pomegranate, fresh-cut oak, agave syrup, oregano in aroma and cup. sweet-tart with a dry, tannic structure and gently bright acidity; crisp, satiny mouthfeel. the harmonious finish consolidates to dark chocolate and oregano.",guatemala
284,"sweetly spice-toned, chocolaty. star jasmine, dark chocolate, red currant, macadamia nut, pink grapefruit zest in aroma and cup. sweetly rich, tart structure with vibrant acidity; plush, syrupy mouthfeel.",kenya
285,"crisply sweet, delicately fruit-toned. blueberry, baking chocolate, oak, agave syrup, magnolia in aroma and cup. sweet structure with gentle, round acidity; crisp, velvety mouthfeel. blueberry and baking chocolate lead the short finish, with magnolia returning in the long.",ethiopia
286,"delicately aromatic, richly sweet. narcissus, honey, apricot, almond, meyer lemon zest in aroma and cup. sweetly tart structure with gently bright, floral acidity; smooth, silky mouthfeel. the finish consolidates to notes of honey and almond with undertones of narcissus.",ethiopia
287,"chocolaty, sweetly nut-toned. baking chocolate, cashew butter, raisin, gardenia, molasses in aroma and cup. sweet structure with brisk acidity; crisp, satiny mouthfeel. the nut-toned finish is supported by notes of baking chocolate and raisin.",peru
288,"deeply sweet, richly savory. dark chocolate, apricot, lilac, almond, cedar in aroma and cup. brightly sweet structure with juicy acidity; full, satiny-smooth mouthfeel. the sweet finish consolidates to notes of dark chocolate and almond butter.",colombia
289,"crisply sweet-savory, gently lactic. strawberry yogurt, lemon verbena, baking chocolate, hazelnut, cedar in aroma and cup. sweet-savory structure with tangy acidity; soft, velvety mouthfeel. crisp, fruit- and cocoa-toned finish.",panama
290,"high-toned, balanced, richly sweet-tart. dried apricot, star jasmine, cocoa nib, caramel, star anise in aroma and cup. sweetly tart structure with juicy, engaging acidity; very syrupy mouthfeel. the cocoa-toned finish is supported by notes of star jasmine and apricot.",panama
291,"complex, bright, citrusy. meyer lemon zest, cocoa nib, dried hibiscus flowers, marjoram, red plum in aroma and cup. sweetly tart with crisp but juicy acidity; lightly viscous, satiny mouthfeel. layered finish with citrus and cocoa at the center.",ethiopia
292,"evaluated as espresso. brightly fruit-toned, deeply chocolaty, with savory undertones. rambutan, sandalwood, kumquat, dark chocolate, freesia in aroma and small cup. crisp, satiny mouthfeel; especially long, flavor-laden finish. in three parts milk, sandalwood notes frame the dark chocolate and tropical fruit throughlines.",colombia
293,"evaluated as espresso. deep-toned, chocolaty, fruit-forward. chocolate fudge, ripe blueberry, fir, molasses, gardenia in aroma and small cup. crisp, velvety mouthfeel; chocolaty finish supported by notes of fresh-cut fir. in three parts milk richly fruit-centered with blueberry and chocolate fudge notes front and center.",costarica
294,"wildly expressive, richly compelling. blackberry jam, sweet cream, frankincense, honeysuckle, dried pineapple in aroma and cup. wine-like, very juicy, integrated acidity; plush, syrupy mouthfeel. very long, very complex finish that leads with notes of wild blackberry and frankincense.",colombia
295,"bright, richly floral. jasmine, cocoa nib, tangerine zest, almond nougat, cedar in aroma and cup. sweet-tart structure with bright, juicy acidity; full, satiny mouthfeel. the satisfying finish leads with notes of jasmine and tangerine in the short, rounding to almond nougat and cocoa nib in the long.",ethiopia
296,"deep-toned, chocolaty. chocolate-covered graham cracker, almond, cedar, freesia-like flowers, lemon verbena in aroma and cup. sweet-toned with gentle, round acidity; full, syrupy mouthfeel. chocolaty finish with undertones of freesia and almond.",salvador
297,"sweetly tart, floral-driven. honeysuckle, vanilla bean, cocoa nib, peach, fresh-cut oak in aroma and cup. crisply sweet structure with gently bright, ripe acidity; very full, viscous mouthfeel. the finish consolidates to notes of peach, vanilla bean and oak.",colombia
298,"delicately sweet-tart, richly aromatic. pomegranate, lavender, cocoa nib, lemon-thyme, cedar in aroma and cup. sweetly tart structure with bright, graceful acidity; light but viscous, silky mouthfeel. long, confident finish led by notes of lavender and pomegranate, rounding to citrus-toned cocoa nib in the long.",costarica
299,"richly sweet, high-toned. mulberry, dark chocolate, agave syrup, lemon verbena, cedar in aroma and cup. sweet in structure with juicy-bright acidity; very full, syrupy mouthfeel. resonant, long, flavor-saturated finish.",ecuador
300,"crisply sweet-tart. passion fruit, lemon verbena, cocoa nib, freesia, cedar in aroma and cup. gently tart structure with sweet, high-toned acidity; very smooth, satiny mouthfeel. cocoa-toned finish supported by notes of lemon verbena and freesia.",ethiopia
301,"sweetly spice-toned. nutmeg, baking chocolate, cranberry, oak, rhododendron in aroma and cup. pert acidity; plush, creamy mouthfeel.",indonesia
302,"chocolaty and sweetly nut-toned. baking chocolate, almond butter, nougat, lychee, lily in aroma and cup. sweet structure with gentle, round acidity; velvety-smooth mouthfeel. crisp, chocolaty finish with undertones of almond and lily.",colombia
303,"evaluated as espresso. multi-layered, complex. dark chocolate, dried apricot, star jasmine, cedar, hazelnut butter in aroma and small cup. very syrupy mouthfeel; crisply fruit-toned finish. in three parts milk, chocolate and apricot notes are amplified, supported by spicy florals.",guatemala
304,"crisply sweet, richly savory. cocoa nib, asian pear, caramel, freesia-like flowers, fresh-cut oak in aroma and cup. sweet structure with brisk acidity; full, syrupy-smooth mouthfeel. quietly cocoa-toned finish with caramel undertones.",guatemala
305,"sweetly nut-toned. roasted hazelnut, cedar, cocoa powder, date, magnolia in aroma and cup. bittersweet structure with gentle acidity; velvety mouthfeel. the finish consolidates to cocoa-toned hazelnut.",haiti
306,"richly fruit-toned, chocolaty. dark chocolate, red currant, tangerine zest, oak, honey in aroma and cup. winy acidity; plush, creamy mouthfeel. chocolaty, citrus-driven finish, invitingly bittersweet.",yemen
307,"very sweet, fruit-driven. honeydew melon, froot loops cereal, cocoa nib, orange zest, oak in aroma and cup. briskly sweet acidity; very full, syrupy mouthfeel. the finish is long, sweet, and fruit-toned.",ethiopia
308,"evaluated as espresso. balanced, chocolaty, and richly fruit-forward. dried pineapple, dark chocolate, hazelnut brittle, magnolia, tangerine zest in aroma and small cup. creamy mouthfeel; crisply chocolaty finish with tropical fruit undertones. in three parts milk, dark chocolate predominates, supported by tangerine zest and pineapple notes.",hawaii
309,"sweetly floral and spice-toned, delicate. lilac, myrrh, cocoa nib, pink peppercorn, honey in aroma and cup. balanced, sweetly tart structure with delicately vibrant acidity; very full, syrupy mouthfeel. cocoa- and floral-toned finish.",panama
310,"deep-toned, cocoa-driven. cocoa powder, golden raisin, molasses, magnolia, fresh-cut fir in aroma and cup. sweet-toned in structure with brisk acidity; velvety-smooth mouthfeel. the crisp, cocoa-toned finish is supported by notes of magnolia and fresh-cut fir.",colombia
311,"richly sweet, high-toned, juicy-bright. nectarine, dark chocolate, brown sugar, almond butter, key lime in aroma and cup. sparkling acidity; plush, syrupy-smooth mouthfeel. the fruit-driven finish has undertones of key lime and brown sugar.",ethiopia
312,"crisply sweet, very inviting. salted caramel, pear, grapefruit zest, fresh-cut oak, lily in aroma and cup. sweet structure with gently bright acidity; very full, satiny mouthfeel. the finish centers around notes of caramel and grapefruit zest.",guinea
313,"roast-rounded, chocolaty, fruit-forward. scorched cedar, nutella, molasses, dried plum, magnolia in aroma and cup. sweet structure with very gentle acidity; plush, creamy mouthfeel. the finish consolidates around nutella and magnolia with a hint of smoke.",hawaii
314,"evaluated as espresso. deeply and sweetly nut-toned. almond butter, magnolia, dark chocolate, crisp pear, fresh-cut cedar in aroma and small cup. viscous, smooth mouthfeel; crisply sweet-tart, finish. cappuccino-scaled milk amplifies the magnolia and dark chocolate notes.",indonesia
315,"evaluated as espresso. balanced, deep, richly floral- and fruit-toned. hyacinth, mulberry, cocoa nib, almond butter, lemon-thyme in aroma and small cup. crisp, syrupy mouthfeel; berry-driven, nutty finish. harmonious and integrated in cappuccino-scaled milk, with berry and floral notes dancing at the top.",honduras
316,"richly aromatic, deeply floral toned. star jasmine, cocoa nib, dragonfruit, lychee, sandalwood in aroma and cup. richly sweet with delicately bright acidity; full, satiny-smooth mouthfeel. crisply sweet finish consolidates to notes of cocoa nib and sandalwood with undertones of star jasmine.",peru
317,"evaluated as espresso. richly chocolaty, fruit-toned. dark chocolate, raspberry jam, cedar, caramel, lemon verbena in aroma and small cup. crisp, syrupy-smooth mouthfeel; chocolaty, sweetly herbaceous finish. in three parts milk, raspberry notes recede and caramel and chocolate come forward.",honduras
318,"richly nut- and floral-toned. magnolia, hazelnut butter, baking chocolate, apricot, maple syrup in aroma and cup. sweet structure with gentle, round acidity; velvety-smooth mouthfeel. finish consolidates to notes of hazelnut butter and maple syrup with baking chocolate undertones.",guinea
319,"complex, multi-layered. black currant, wisteria, dark chocolate, black walnut, a hint of sage in aroma and cup. sweet-toned structure with elegantly juicy acidity; lightly velvety mouthfeel. chocolaty finish with undertones of walnut and sage.",kenya
320,"crisply sweet-savory, rich-toned. pineapple yogurt, cane sugar, lily, raw chocolate, tangerine in aroma and cup. sweet-toned structure with brisk, savory acidity; crisp, velvety-smooth mouthfeel. the finish consolidates to notes of cane sugar and lily in the short, with tangerine notes resurfacing in the long.",nicaragua
321,"sweetly tart, decidedly tropical. ginger blossom, passionfruit, kukui nut, lemon verbena, sugarcane in aroma and cup. sweet-tart structure with juicy, high-toned acidity; plush, syrupy mouthfeel. the finish is resonant, long, and flavor-saturated.",ethiopia
322,"savory-sweet, intensely aromatic and flavor-saturated. dried red plum, amber, teriyaki sauce, cocoa nib, pink peppercorn in aroma and cup. savory-tart structure with fruit-toned, focused acidity; rich, syrupy mouthfeel. the crisp finish consolidates to notes of teriyaki and cocoa nib.",colombia
323,"deep-toned, richly sweet-tart. lychee, meyer lemon zest, agave syrup, cocoa nib, narcissus in aroma and cup. sweet-toned structure with brisk acidity; syrupy-smooth mouthfeel. the floral-toned finish centers around notes of narcissus and meyer lemon zest.",burundi
324,"delicately sweet-tart. berry melange, pink peppercorn, honeysuckle, baker’s chocolate, lemon verbena in aroma and cup. sweetly tart structure with crisp acidity; satiny-smooth mouthfeel. the herb-toned finish leads with notes of lemon verbena and red berries supported by baking chocolate.",ethiopia
325,"gently sweet-tart, cocoa-toned. cocoa nib, passionfruit, wisteria, musk, tangerine in aroma and cup. gentle, round acidity; full, syrupy-smooth mouthfeel. delicate finish centers around notes of wisteria and cocoa nib.",ethiopia
326,"delicately sweet-tart. cocoa nib, green plum, hazelnut, lavender, fresh-cut fir in aroma and cup. crisply sweet structure with bright, citrusy acidity; velvety mouthfeel. gently drying finish with notes of hazelnut and fresh-cut fir.",ethiopia
327,"crisply sweet, rich-toned. baking chocolate, almond butter, honeysuckle, red grape, maple syrup in aroma and cup. deeply sweet structure with gentle, round acidity; full, syrupy-smooth mouthfeel. baking chocolate and red grape complicate the quiet, nut-toned finish.",peru
328,"richly sweet-savory, deep-toned. baking spices, dark chocolate, date, narcissus, tangerine zest in aroma and cup. sweetly savory structure with juicy, resonant acidity; plush, creamy mouthfeel. long, lingering, flavor-saturated finish that leads with baking spices with undertones of dark chocolate and narcissus.",hawaii
329,"spice-toned, balanced, crisply sweet. baking spices, caramel, lily, almond, orange zest in aroma and cup. crisp, sweet structure with bright acidity; smooth, satiny mouthfeel. almond notes lead in the finish, supported by caramel and orange zest.",colombia
330,"sweet-toned, balanced. baking chocolate, yellow plum, nougat, cedar, lily in aroma and cup. brisk acidity; full, satiny mouthfeel. the wood-framed finish has a hint of chocolate undertones.",guatemala
331,"high-toned, juicy-sweet. mango, cocoa nib, magnolia, lemongrass, pink peppercorn in aroma and cup. sweet-tart structure with bright, balanced acidity; syrupy-smooth mouthfeel. flavor-laden finish, long and lingering, centered around notes of mango and cocoa nib.",ethiopia
332,"evaluated in brew bag format with a steeping time of 5 minutes in 8 ounces of water. crisply sweet, nut-toned. cocoa powder, pomegranate, almond, orange zest, magnolia in aroma and cup. sweet-toned with brisk acidity; plush, creamy mouthfeel. cocoa-toned finish supported by notes of orange zest and almond.",guatemala
334,"richly fruit-toned. blackberry jam, dark chocolate, marjoram, freesia, fresh-cut oak in aroma and cup. sweetly tart with fruity acidity; crisp, satiny mouthfeel. finish consolidates to notes of blackberry and marjoram.",burundi
335,"richly aromatic, chocolaty. dark chocolate, bing cherry, pink grapefruit zest, lily, fresh-cut oak in aroma and cup. crisply sweet with brisk acidity; plush, creamy mouthfeel. the finish consolidates to chocolate-covered cherry with lily undertones.",peru
336,"deeply sweet, richly tart, harmoniously balanced. dried mango, dark chocolate, brown sugar, oolong tea, tangerine zest in aroma and cup. sweet-tart structure with citrusy-bright acidity; full, round, syrupy mouthfeel. lingeringly sweet, tropical fruit-driven finish.",burundi
337,"bright, richly sweet-tart. cocoa nib, nectarine, narcissus, almond, brown sugar in aroma and cup. high-toned, juicy acidity; crisp, satiny mouthfeel. the finish centers around notes of cocoa nib and nectarine.",guatemala
338,"balanced, floral, sweetly spice-toned. magnolia, almond butter, ginger cookie, sugarcane, cedar in aroma and cup. sweet-toned with brisk acidity; lightly satiny, very smooth mouthfeel. the crisp, richly sweet finish centers around sugarcane and almond.",burundi
339,"delicately floral, spice-toned. honeysuckle, apricot, bergamot, spearmint, cocoa nib in aroma and cup. sweet structure with vibrant, elegant acidity; billowy, silky-smooth mouthfeel. finish consolidates to cocoa-toned honeysuckle and bergamot.",costarica
340,"delicate, richly complex. narcissus, raspberry, cocoa nib, cedar, myrrh in aroma and cup. richly sweet structure with bright, balanced acidity; elegant, silky mouthfeel. floral finish with a cocoa throughline.",ethiopia
341,"gently fruity, sweetly tart. blackberry, cane sugar, cocoa nib, fresh-cut fir, jasmine in aroma and cup. sweet structure with pert acidity; viscous, satiny-smooth mouthfeel. fruit-toned finish with undertones of cane sugar and fir.",ethiopia
342,"richly fruit-forward, deeply chocolaty. dried mango, chocolate fudge, wisteria, cedar, pistachio in aroma and cup in aroma and cup. sweetly tart structure with winy acidity; plush, syrupy mouthfeel. the rich-toned finish consolidates to notes of dried mango, chocolate fudge and cedar.",ethiopia
343,"evaluated as espresso. deeply sweet, caramelly. golden raisin, dark caramel, hazelnut, rhododendron, oak in aroma and cup. satiny-smooth mouthfeel; the crisp, caramelly finish is complicated by notes of fresh-cut oak. balanced and complete in three parts milk with deep caramel and sweet hazelnut notes.",guinea
344,"gently sweet-tart, floral-toned. pomegranate, lilac, hazelnut, pink grapefruit zest, fresh-cut oak in aroma and cup. crisply sweet-tart structure with delicately bright acidity; satiny-smooth mouthfeel. tart finish leads with notes of pomegranate and pink grapefruit zest, with undertones of oak and hazelnut.",ethiopia
345,"high-toned, delicate, confident. star-jasmine, cocoa nib, blood orange, black sage, sandalwood in aroma and cup. sweet-toned structure with poised and elegantly bright acidity; very smooth, silky mouthfeel. sandalwood notes contribute resonance to the floral-toned finish.",colombia
346,"delicately and sweetly herbaceous. lemon verbena, tangerine zest, cocoa nib, magnolia, oak in aroma and cup. crisply sweet with gently savory undertones; silky mouthfeel. the finish consolidates to notes of lemon verbena and oak with hints of magnolia-like florals.",guatemala
347,"sweetly herbaceous, deeply aromatic, rich-toned. dark chocolate, tangerine, fresh-cut thyme, dried plum, magnolia in aroma and cup. sweet-savory structure with balanced, gently vibrant acidity; very smooth, syrupy mouthfeel. especially long, flavor-saturated finish that carries over all the aroma and flavor notes from the cup.",indonesia
348,"brightly sweet-tart, fruit-toned. mango, sandalwood, toffee, cocoa nib, spicy freesia-like flowers in aroma and cup. tart-leaning structure with crisp, high-toned acidity; syrupy-smooth mouthfeel. fruit-and floral-toned finish with sandalwood undertones.",ethiopia
349,"sweetly roast-toned, richly chocolaty. baking chocolate, scorched mesquite, lily, almond brittle, date in aroma and cup. bittersweet structure with creamy mouthfeel; the crisp, gently drying finish centers on notes of baking chocolate, lily and mesquite.",sumatra
350,"gently tart, sweetly herbaceous. jasmine, sassafras, tangerine, baking chocolate, agave syrup in aroma and cup. high-toned structure with sweetly bright acidity; silky, buoyant mouthfeel. the quiet finish consolidates to notes of tangerine and jasmine.",brazil
351,"richly floral-toned, crisply sweet. honeysuckle, lime zest, cocoa nib, marjoram, cedar in aroma and cup. brightly sweet structure with juicy acidity; full, syrupy mouthfeel. the finish consolidates to notes of honeysuckle and lime.",ethiopia
352,"delicately sweet, deeply fruit-toned. goji berry, alyssum, almond brittle, marjoram, sandalwood in aroma and cup. sweet structure with high-toned acidity; very full, viscous mouthfeel. finish consolidates to notes of goji berry and almond brittle.",hawaii
353,"crisply chocolaty, sweetly nut-toned. baking chocolate, cashew, orange zest, date, gardenia in aroma and cup. sweet-toned with gentle acidity; crisp, lightly satiny mouthfeel. the gently drying finish centers around bittersweet chocolate notes.",mexico
354,"richly sweet-tart, deeply chocolaty. dark chocolate, pomegranate, lemon verbena, agave syrup, pink grapefruit zest in aroma and cup. sweetly tart structure with apple-like malic acidity; very full, smooth, viscous mouthfeel. the finish consolidates to notes of pomegranate and dark chocolate with undertones of pink grapefruit zest.",hawaii
355,"sweetly tart, fruit-forward. raspberry, dark chocolate, nougat, freesia, cedar in aroma and cup. sweet-tart structure with wine-like acidity; satiny-smooth mouthfeel. finish consolidates to notes of dark chocolate and cedar.",peru
356,"evaluated as espresso. very sweet, caramel-toned. dark caramel, lily, persimmon, roasted walnut, cedar in aroma and small cup. crisp, satiny mouthfeel; fruit-toned finish redolent of persimmon and fresh-cut cedar. in the milk shot, caramel pleasantly subsumes all the other notes, save for undertones of roasted walnut, which add complexity.",colombia
357,"delicate, confident, complex, lyrical. passion fruit, cocoa nib, wisteria, lemon verbena, agave syrup in aroma and cup. sweet-tart structure with juicy, bright acidity; plush, syrupy mouthfeel. rich, long, flavor-saturated finish.",colombia
358,"flavor-saturated, sweetly tart. candy apple, lime zest, cocoa nib, freesia-like flowers, fresh-cut fir in aroma and cup. gently tart structure with crisp acidity; velvety-smooth mouthfeel. wood-framed finish with undertones of cocoa nib and lime zest.",ethiopia
359,"floral-toned, mult-layered, balanced. narcissus, dark chocolate, pomegranate, frankincense, in aroma and small cup. very syrupy-smooth mouthfeel; rich, harmonious, elongated finish. exceptionally complex in three parts milk, where narcissus and dark chocolate notes commingle with pomegranate and frankincense.",salvador
360,"richly sweet, deeply layered. lychee, tangerine zest, mesquite, star jasmine, agave syrup in aroma and cup. sweet-tart structure with vibrantly bright acidity; very full, syrupy mouthfeel. the finish consolidates to notes of agave syrup and mesquite.",hawaii
361,"deep-toned, complex. bing cherry, cocoa nib, butterscotch, rhododendron, cedar in aroma and cup. sweet-tart structure with juicy, bright acidity; very smooth, syrupy mouthfeel. resonant, nuanced, long finish.",guatemala
362,"elegant, delicate, sweetly tart. bergamot, yellow plum, cocoa nib, sage, candied violet in aroma and cup. delicately sweet, balanced structure with high-toned acidity; very smooth, satiny mouthfeel. resonant, long, flavor-laden finish.",ethiopia
363,"crisply chocolaty, richly sweet. pear, baking chocolate, magnolia, cashew, marjoram in aroma and cup. sweet-toned structure with brisk acidity; plush, creamy mouthfeel. the sweetly nutty finish is supported by magnolia and baking chocolate.",guatemala
364,"high-toned, crisply sweet-tart. concord grape, rhododendron, cocoa nib, sandalwood, maple syrup in aroma and cup. brightly sweet structure with tart, juicy acidity; very plush, syrupy mouthfeel. the resonant finish consolidates to notes of cocoa nib and maple syrup with undertones of concord grape.",colombia
365,"fruit-forward, deep-toned. blueberry jam, dark chocolate, magnolia, lemon verbena, maple syrup in aroma and cup. sweet structure with pert acidity; full, syrupy mouthfeel. the berry-driven finish is supported by suggestions of dark chocolate and lemon verbena.",ethiopia
366,"sweetly spice-toned, floral. wisteria, dark chocolate, black currant, marjoram, pink grapefruit zest in aroma and cup. sweetly rich, tart structure with vibrant acidity; full, satiny-smooth mouthfeel.",kenya
367,"exuberant yet coherent anaerobic. butterscotch, blueberry, cocoa, lilac, candycap mushroom in aroma and cup. sweet, tart and savory impulses balance in a richly expressive structure. plush, lightly syrupy mouthfeel. fruit notes consolidate in a long though quiet finish.",colombia
368,"deeply rich, chocolaty and fruit-toned. raspberry tart, chocolate fudge, grappa barrel, gardenia, molasses in aroma and cup. vibrantly sweet-tart structure with juicy, fruit-forward acidity; creamy-smooth mouthfeel. the finish consolidates to suggestions of dried raspberry, chocolate fudge and grappa barrel.",costarica
369,"crisply sweet, brightly tart. tamarind, pineapple taffy, almond, lime zest, magnolia in aroma and cup. sweetly tart structure with brisk acidity; very smooth, syrupy mouthfeel. crisply fruity finish with undertones of almond butter.",costarica
370,"delicate, deep; complex. pomegranate, macadamia nut, pink grapefruit zest, agave syrup, a hint of fresh dill in aroma and cup. sweet-savory structure with gently tart, juicy acidity; supple, syrupy mouthfeel. the multi-layered finish, long and inviting, retains all of the flavor and aroma notes from the cup and adds a subtle tropical fruit note suggesting lychee.",colombia
371,"lively, fruit- and spice-toned. persimmon, black cherry, cinnamon, violet, cedar in aroma and cup. brightly sweet-tart structure with lightly satiny mouthfeel. finish reminiscent of baking spices with black cherry undertones.",rwanda
372,"floral and richly fruit-toned. guava, tea rose, sage, pralines, cane sugar in aroma and cup. sweet-tart structure with winy acidity; full, syrupy mouthfeel. the rich finish leads with notes of tea rose and guava, supported by cane sugar.",ethiopia
373,"crisply sweet, citrusy and bright. orange zest, baking chocolate, agave syrup, lily, cashew in aroma and cup. tart-leaning structure with brisk acidity; velvety mouthfeel. the gently drying finish consolidates to suggestions of chocolate and lily.",mexico
374,"bright, delicately fruit-toned. raspberry jam, rhododendron, white pepper, maple syrup, cedar in aroma and cup. sweet-toned with crisp, vibrant acidity. silky, buoyant mouthfeel. balanced, resonant finish with lingering notes of raspberry and white pepper.",ecuador
375,"richly sweet, floral- and fruit-toned. apricot, star jasmine, almond nougat, lemon balm, sandalwood in aroma and cup. sweetly tart structure with delicately bright acidity; plush, syrupy mouthfeel. long, lingering, flavor-laden finish.",ethiopia
376,"harmoniously balanced, deep-toned, bright. nectarine, cocoa nib, pink grapefruit zest, star jasmine, marjoram in aroma and cup. richly sweet-savory structure with malic, apple-toned acidity; plush, syrupy-smooth mouthfeel. the satisfying finish carries over all the flavor notes from the cup.",hawaii
377,"crisply sweet, fruit-toned. plum, apple blossom, oak, caramel, lemon verbena in aroma and cup. sweet-tart structure with gentle, round acidity; satiny mouthfeel. the finish rounds to notes of caramel-toned plum with a hint of lemon verbena.",guinea
378,"richly bittersweet, nut-toned. caramelized hazelnut, cocoa nib, dried date, freesia-like flowers, fresh-cut fir in aroma and cup. bittersweet structure with brisk acidity; full, lightly syrupy mouthfeel. the richly drying finish foregrounds caramelized hazelnut and cocoa-toned date.",honduras
379,"delicate, rich, multi-layered. lilac, honey, plum, sandalwood, hazelnut in aroma and cup. gently bright, crisp acidity; silky, buoyant mouthfeel. the finish consolidates to resonant lilac and plum notes with sandalwood undertones.",ethiopia
380,"deeply sweet, fruit-forward. raspberry coulis, cocoa nib, freesia-like flowers, cedar, caramelized walnut in aroma and cup. sweetly tart structure with delicate acidity; very full, satiny-smooth mouthfeel. the finish leads with notes of caramelized walnut and cocoa nib with undertones of freesia.",honduras
381,"complex, high-toned, resiny. malt, amber, pomelo, baking chocolate, date in aroma and cup. brightly bittersweet structure with juicy acidity; plush, satiny mouthfeel. perfumed finish with leading notes of amber and pomelo.",hawaii
382,"intricately fruity, gently floral. tangerine, lychee, magnolia, dark chocolate, myrrh in aroma and cup. high-toned, sweetly tart acidity; vibrant, viscous, silky mouthfeel. citrusy and chocolaty finish with undertones of myrrh.",salvador
383,"richly fruit-saturated, balanced, juicy. black cherry, bourbon barrel, cocoa nib, wisteria, candycap mushroom in aroma and small cup. deep, sweet-savory structure with high-toned, malic acidity; plush, syrupy mouthfeel. resonant, long, flavor-laden finish that fulfills the promise of the cup.",colombia
384,"sweetly fruit-forward, richly aromatic. lychee, tangerine zest, cocoa nib, lemon verbena, maple syrup in aroma and cup. sweet-tart structure with bright acidity; satiny-smooth mouthfeel. the finish centers around notes of lychee and tangerine zest with cocoa undertones.",ethiopia
385,"bright, sweetly tart, cocoa-toned. cocoa nib, meyer lemon zest, nougat, red apple, almond in aroma and cup. sweet-tart structure with crisp, high-toned acidity; silky-smooth mouthfeel. the finish consolidates to notes of cocoa-toned nougat and almond.",rwanda
386,"high-toned, floral. narcissus, bergamot, cedar, baking chocolate, a hint of amber in aroma and cup. delicately sweet-savory structure with bright acidity; crisp, satiny mouthfeel. the finish centers around notes of baking chocolate and amber.",ethiopia
387,"deep-toned, richly sweet. raspberry, brown sugar, lime zest, dark chocolate, baking spices in aroma and cup. sweet structure with round, lively acidity; crisply smooth, velvety mouthfeel. baking spices and dark chocolate carry the satisfying finish.",taiwan
388,"evaluated as espresso. richly chocolaty, nut-toned. chocolate fudge, pistachio, gardenia, scorched mesquite, molasses in aroma and small cup. full, creamy mouthfeel; chocolaty, pleasingly smoky-sweet finish. in three parts milk, think snicker’s bar with extra caffeine.",colombia
