,description
488,"|Roaster Location:
|Lexington, Virginia
|Coffee Origin:
|Sierra Madre, Chiapas State, Mexico
|Roast Level:
|Medium-Light
|Agtron:
|56/84
|Est. Price:
|$18.25/12 ounces
|Review Date:
|November 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Richly sweet-tart, chocolaty. Pomegranate, toffee, baking chocolate, graham cracker, cedar in aroma and cup. Briskly sweet acidity; crisp, velvety mouthfeel. Finish consolidates to notes of dark chocolate and pomegranate with cedar undertones.
Notes
Produced by smallholding members of the CESMACH Cooperative from trees of the Bourbon, Typica and Mundo Novo varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before drying). Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.
Bottom Line
Sweet-tart fruit and rich nut tones characterize this solid Mexico cup.
Explore Similar Coffees
Click here for more reviews from Roadmap CoffeeWorks
Click here for more information about coffees from Mexico"
489,"Roast House
Ethiopia Mormora Cold Brew
|Roaster Location:
|Spokane, Washington
|Coffee Origin:
|Guji Zone, Oromia Region, Ethiopia
|Roast Level:
|NA
|Agtron:
|0/0
|Est. Price:
|$5.50/12-ounce bottle
|Review Date:
|July 2021
|Aroma:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
A ready-to-drink black coffee, tested cold. Dried apricot, baking chocolate, lemon verbena, marjoram, frankincense. Juicy, sweet-tart structure with lively acidity; satiny-smooth mouthfeel. The balanced finish is equal parts dark chocolate and dried apricot. Chocolate notes are further amplified in milk, as sweet marjoram and resiny frankincense notes.
Notes
The coffee tied for the highest rating in a tasting of ready-to-drink black coffees for Coffee Review’s July 2021 tasting report. Prepared by the cold-brew method, which involves prolonged steeping of ground coffee in cold water. Contains no additives or ingredients other than coffee and water. The green coffee used is a natural-processed Ethiopia Mormora. Roast House is a small-batch, quality-focused roaster specializing in farm-direct organic-certified and fair trade certified coffees. Visit roasthousecoffee.com or call 509-995-6500 for more information.
Bottom Line
A fruity, decadently tart, chocolaty and richly savory single-origin Ethiopia natural cold brew.
Explore Similar Coffees
Click here for more reviews from Roast House
Click here for more information about coffees from Ethiopia
This review originally appeared in the July, 2021 tasting report: Cold Black Coffee: Simplicity Rules the Post-Pandemic RTD Landscape"
490,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Congonama, Loja, Ecuador
|Roast Level:
|Medium-Light
|Agtron:
|58/74
|Est. Price:
|$20.00/12 ounces
|Review Date:
|October 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Very sweet, floral-toned. Lilac, white nectarine, hazelnut, pink grapefruit zest, sandalwood in aroma and cup. Sweet-toned structure with balanced, bright acidity; very full, chewy mouthfeel. Floral-toned finish with supporting notes of pink grapefruit zest and sandalwood.
Notes
Produced by Angel Benigno Capa Chama and Maria Carmen Cogitambo Lojan from trees of the Caturra and Typica varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.
Bottom Line
A flavor-saturated, pungently bright washed Ecuador cup with elegant floral top notes on a base of citrus, stone fruit and perfumy aromatic wood.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Ecuador"
491,"Highwire Coffee Roasters
Guatemala Bella Carmona
|Roaster Location:
|Emeryville, California
|Coffee Origin:
|Antigua growing region, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|52/70
|Est. Price:
|$18.25/12 ounces
|Review Date:
|September 2020
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deep-toned, chocolaty. Dark chocolate, date, hazelnut, agave syrup, pink grapefruit zest in aroma and cup. Sweetly tart structure with pert acidity; delicately smooth mouthfeel. Chocolate- and hazelnut-toned finish.
Notes
This coffee tied for the third-highest rating in a cupping of washed-process coffees from Central America and Mexico for Coffee Review’s September 2020 report. Produced by Luis Pedro Zelaya Zamora from trees of the Bourbon and Caturra varieties of Arabica and processed by the washed method. Highwire Coffee Roasters is a small-batch coffee roaster located in Emeryville, California. Established in 2011, Highwire pursues the straightforward goal of sharing the coffees it loves with the community. Visit www.highwirecoffee.com or call 510-420-0473 for more information.
Bottom Line
A crisply sweet, nuanced, quietly complete Guatemala cup.
Explore Similar Coffees
Click here for more reviews from Highwire Coffee Roasters
Click here for more information about coffees from Guatemala
This review originally appeared in the September, 2020 tasting report: The Fate of a Classic: Washed Central America Coffees"
492,"Metropolis Coffee
Granville Fair Trade Organic Blend
|Roaster Location:
|Chicago, Illinois
|Coffee Origin:
|Not disclosed
|Roast Level:
|Medium-Light
|Agtron:
|58/78
|Est. Price:
|$12.25/10.5 ounces
|Review Date:
|January 2022
|Aroma:
|7
|Acidity/Structure:
|7
|Body:
|7
|Flavor:
|8
|Aftertaste:
|7
Blind Assessment
Crisp, delicately sweet. Brazil nut, carob, lime zest, carnation, hint of raisin in aroma and cup. Sweet-tart structure with citric acidity; dry, velvety mouthfeel. Quiet nut-toned finish.
Notes
Certified fair trade and USDA organic. Metropolis Coffee’s motto is “Great coffee for everyone.” The Chicago-based roaster specializes in affordable, high-quality single-origins and blends. Visit www.metropoliscoffee.com for more information.
Bottom Line
An easy-going, very crisp cup with sweet nut tones as a throughline.
Explore Similar Coffees
Click here for more reviews from Metropolis Coffee"
493,"Samlin Coffee
Ethiopia Guji Uraga Tebe Burka Natural G1
|Roaster Location:
|New Taipei City, Taiwan
|Coffee Origin:
|Guji Zone, Oromia Region, Southern Ethiopia
|Roast Level:
|Light
|Agtron:
|64/82
|Est. Price:
|NT $550/250 grams
|Review Date:
|November 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deeply sweet, fruit-toned, vibrant. Persimmon, dark chocolate, marshmallow, pistachio, pink grapefruit zest in aroma and cup. Sweet structure with bright, juicy acidity; full, creamy-smooth mouthfeel. The cleanly fruit-toned finish is supported by notes of pistachio and dark chocolate.
Notes
Produced in the distinguished Guji growing region, nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions, largely from distinctive indigenous landrace varieties of Arabica long grown in the region. Processed by the natural method (beans are dried in the whole fruit). Samlin Coffee is a nano-roaster and coffee shop in New Taipei City, Taiwan. Visit https://www.facebook.com/samlincoffee/ for more information.
Bottom Line
A sweetly pungent natural-processed Ethiopia cup, fruit-driven, with an especially viscous, creamy mouthfeel.
Explore Similar Coffees
Click here for more reviews from Samlin Coffee
Click here for more information about coffees from Ethiopia"
494,"|Roaster Location:
|Chia-Yi, Taiwan
|Coffee Origin:
|Guji Zone, Oromia region, southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|56/76
|Est. Price:
|NT $210/8 ounces
|Review Date:
|April 2021
|Aroma:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Cleanly fruit-toned, deep, complex. Pomegranate, narcissus, lemon-thyme, chocolate fudge, sandalwood in aroma and small cup. Creamy mouthfeel; richly chocolaty finish with undertones of sandalwood. The milk shot is chocolaty through and through, fudge-like in its depth, complicated by sweet-tart pomegranate notes.
Notes
Southern Ethiopia coffees like this one are largely produced from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.
Bottom Line
A single-origin, natural-processed Ethiopia espresso with a lush sweet-tartness and a deep chocolaty throughline.
Explore Similar Coffees
Click here for more reviews from Kakalove Cafe
Click here for more information about coffees from Ethiopia"
495,"Golin Coffee Roasters
Ethiopia Birbisakela Washed G1
|Roaster Location:
|New Taipei City, Taiwan
|Coffee Origin:
|Yirgacheffe growing region, southern Ethiopia
|Roast Level:
|Light
|Agtron:
|64/80
|Est. Price:
|NT $500/200 grams
|Review Date:
|October 2022
|Aroma:
|8
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Delicately floral-toned. Wisteria, pear, maple syrup, almond, lime zest in aroma and cup. Crisply sweet with vibrant acidity; lightly satiny mouthfeel. Almond and pear notes lead the gentle, pleasing finish.
Notes
Produced by smallholding farmers from selections of Ethiopian indigenous landrace varieties of Arabica and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Golin Coffee Roasters is a Taiwan-based retail and wholesale specialty coffee roaster that also offers educational seminars. Visit https://golincoffee.waca.ec/ for more information.
Bottom Line
A friendly, balanced Ethiopia cup: crisp, floral, delicately and brightly sweet.
Explore Similar Coffees
Click here for more reviews from Golin Coffee Roasters
Click here for more information about coffees from Ethiopia"
496,"|Roaster Location:
|Taoyuan, Taiwan
|Coffee Origin:
|Colombia; Costa Rica; Kenya; Ethiopia
|Roast Level:
|Medium
|Agtron:
|46/70
|Est. Price:
|NT$ 650/8 ounces
|Review Date:
|November 2023
|Aroma:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Deep-toned, richly sweet-savory. Dark chocolate, dried raspberry, salted caramel, gently scorched oak, hint of sage in aroma and small cup. Plush, syrupy mouthfeel; crisply sweet-tart finish. In three parts milk, chocolate and raspberry notes harmonize with a salted caramel throughline.
Notes
A blend of coffees from Colombia, Costa Rica, Kenya and Ethiopia, roasted for espresso applications. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.
Bottom Line
Rich, sweet, savory, and deep, this four-origin espresso blend is richly chocolaty, nuanced, and complicated by a pleasing undercurrent of roast-roundedness.
Explore Similar Coffees
Click here for more reviews from Simon Hsieh Aroma Roast Coffees"
497,"Big Island Coffee Roasters
Ka’u Lehua Black Honey
|Roaster Location:
|Mountain View, Hawaii
|Coffee Origin:
|Ka’u growing region, Big Island of Hawai'i
|Roast Level:
|Medium-Light
|Agtron:
|58/78
|Est. Price:
|$27.00/10 ounces
|Review Date:
|January 2021
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly savory, complex. Pipe tobacco, date, narcissus, almond, baking chocolate in aroma and cup. Sweet-toned with lively acidity; very full, creamy mouthfeel. The finish centers on notes of date and pipe tobacco.
Notes
Produced on K&J Farm in the Ka’u growing region. Processed by the black honey method, in which the skins are removed from the fruit but virtually all of the pulp is allowed to dry slowly on the beans, often resulting in a deep, pungent profile. Big Island Coffee is an award-winning coffee roaster operated with hands-on passion by Kelleigh Stewart and Brandon von Damitz. Visit www.bigislandcoffeeroasters.com for more information.
Bottom Line
A deep, meditative Ka’u cup processed by the black honey method: rich, round, intensely aromatic.
Explore Similar Coffees
Click here for more reviews from Big Island Coffee Roasters
Click here for more information about coffees from Hawaii"
498,"|Roaster Location:
|Nantou, Taiwan
|Coffee Origin:
|Ethiopia; Peru; Colombia; Honduras
|Roast Level:
|Medium-Light
|Agtron:
|57/74
|Est. Price:
|NT $250/227 grams
|Review Date:
|January 2023
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly fruit-toned and nutty. Hazelnut butter, pomegranate, lemon verbena, fresh-cut oak, orange zest in aroma and cup. Sweet structure with gently brisk acidity; very full, syrupy mouthfeel. Sweetly nut-toned finish.
Notes
A blend of three washed-process coffees (from Peru, Colombia, Honduras) and one natural-processed (Ethiopia). Manchill Roasteria is a Taiwan-based especially coffee roaster and e-commerce store with an eye toward value. Visit www.manchill.com.tw for more information.
Bottom Line
A balanced, accessible blend with richly sweet nut tones and crisp, sweetly tart fruit notes.
Explore Similar Coffees
Click here for more reviews from Manchill Roasteria"
499,"|Roaster Location:
|Nantou, Taiwan
|Coffee Origin:
|Yirgacheffe growing region, southern Ethiopia
|Roast Level:
|Light
|Agtron:
|62/80
|Est. Price:
|NT $600/227 grams
|Review Date:
|July 2022
|Aroma:
|8
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Bittersweet, cleanly fruit-toned. Dark chocolate, raspberry, lime zest, hazelnut butter, rhododendron in aroma and cup. Deeply sweet structure with juicy, bright acidity; lightly satiny mouthfeel. The finish is carried by notes of dark chocolate and raspberry.
Notes
The Yirgacheffe region produces distinctive coffees from traditional landrace varieties of Arabica long grown in the area. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Desolate Café is a specialty roaster in Nantou, Taiwan. The shop offers coffee, homemade desserts, and other foods. For more information, visit www.desolatecoffee.com.
Bottom Line
A juicy, richly fruit-toned natural-processed Ethiopia cup with distinct raspberry notes throughout, supported by dark chocolate.
Explore Similar Coffees
Click here for more reviews from Desolate Café
Click here for more information about coffees from Ethiopia"
500,"|Roaster Location:
|Chia-Yi, Taiwan
|Coffee Origin:
|Bench-Maji Zone, southern Ethiopia
|Roast Level:
|Light
|Agtron:
|64/81
|Est. Price:
|NT $400/8 ounces
|Review Date:
|November 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Richly sweet, cocoa-driven and crisply fruity. Concord grape, dark chocolate, plumeria, marjoram, sandalwood in aroma and cup. Sweet-toned structure with bright, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish leads with fruit and chocolate suggestions.
Notes
Produced from trees of the admired Ethiopia-derived botanical variety Gesha (also Geisha). With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. Although the Gesha variety originated in Ethiopia, it was “discovered” by the coffee world in 2004 growing in Boquete, Panama, and Panama continues to dominate the expanding world of Gesha. This particular version, however, is the outcome of efforts to commercialize Gesha in the region from which it originally came. Processed by the dried-in-the-fruit or natural method. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.
Bottom Line
An impeccably composed natural-processed Ethiopia Geisha that leads with decadently sweet tropical fruit supported by rich chocolate and spicy-sweet florals.
Explore Similar Coffees
Click here for more reviews from Kakalove Cafe
Click here for more information about coffees from Ethiopia"
501,"|Roaster Location:
|Santa Monica, California
|Coffee Origin:
|Ethiopia; Brazil; Mexico; Papua New Guinea
|Roast Level:
|Medium-Light
|Agtron:
|55/72
|Est. Price:
|$18.00/12 ounces
|Review Date:
|November 2023
|Aroma:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|7
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Dark chocolate, caramel, macadamia nut, cedar, marjoram in aroma and small cup. Crisply velvety mouthfeel; gently drying, chocolaty finish. In three parts milk, dark chocolate notes are front and center, with macadamia nut and cedar undertones.
Notes
A blend of coffees from Ethiopia, Brazil, Mexico and Papua New Guinea, roasted for espresso applications. Caffè Luxxe is an Italian-inflected artisan roaster and retailer that emphasizes both its coffee knowledge and precision and its straightforward lack of pretension. Visit www.caffeluxxe.com or call 310-394-2222 for more information.
Bottom Line
Especially chocolaty in cappuccino format, this Italian-style espresso blend is deep-toned and crisply sweet.
Explore Similar Coffees
Click here for more reviews from Caffe Luxxe"
502,"|Roaster Location:
|Antigua, Guatemala
|Coffee Origin:
|El Progreso, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|55/69
|Est. Price:
|$17.00/12 ounces
|Review Date:
|August 2023
|Aroma:
|7
|Acidity/Structure:
|7
|Body:
|7
|Flavor:
|8
|Aftertaste:
|7
Blind Assessment
Crisp, quietly sweet. Brazil nut, carob, dried orange zest, carnation, muted raisin in aroma and cup. Savory structure with tart acidity; dry, velvety mouthfeel. Quiet nut-toned finish.
Notes
Produced by Higinio Gómez of Beneficio La Esperanza, entirely of the Yellow Caturra variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.
Bottom Line
An accessible, very crisp cup with delicate nut tones as anchor.
Explore Similar Coffees
Click here for more reviews from El Gran Cafe
Click here for more information about coffees from Guatemala"
503,"St1 Cafe/Work Room
Bean Series Ethiopia Guji Raro
|Roaster Location:
|Tainan City, Taiwan
|Coffee Origin:
|Guji Zone, Oromia Region, Ethiopia
|Roast Level:
|Light
|Agtron:
|63/80
|Est. Price:
|NT $500/200 grams
|Review Date:
|August 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Suavely bright, quietly lively, balanced. Tangerine, hazelnut, cedar, cashew, floral vanilla in aroma and cup. Sweetly tart in structure; roundly bright acidity. Plush, buoyant mouthfeel. Impressive finish: deep, layered, vanilla with cedar and tangerine back notes.
Notes
Produced by smallholding farmers from the Kurume and Welicho selections of Ethiopia landrace varieties of Arabica, and processed at the Raro Boda washing station by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). St1 Cafe and Work Room is based in Tainan City, Taiwan, offering customers top-quality coffee in a cafe environment conducive to remote work. Visit www.st1cafe.com for more information.
Bottom Line
Complex vanilla and floral suggestions emerge in a softly lively structure.
Explore Similar Coffees
Click here for more reviews from St1 Cafe/Work Room
Click here for more information about coffees from Ethiopia
This review originally appeared in the August, 2022 tasting report: Everyday Single-Origin Coffees: At the Intersection of the Familiar and the Exceptional"
504,"|Roaster Location:
|San Diego, California
|Coffee Origin:
|Nyarita, Mexico
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$25.00/14 ounces
|Review Date:
|September 2022
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Crisply sweet, fruit-toned. Dried plum, hazelnut, cocoa powder, marjoram, fresh-cut fir in aroma and cup. Sweet-toned structure with gently fruity acidity; crisp, silky mouthfeel. The finish consolidates to cocoa-toned marjoram with hints of hazelnut.
Notes
Produced by smallholding members of the TAMBOR Cooperative, from trees of the Bourbon, Catuai, Caturra, Typica and Mundo Novo varieties of Arabica, and processed by the natural method (dried in the whole fruit). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.
Bottom Line
A quietly confident, gently fruit-forward natural-processed Mexico cup from the coastal region of Nyarit, not typically associated with coffee.
Explore Similar Coffees
Click here for more reviews from Mostra Coffee
Click here for more information about coffees from Mexico
This review originally appeared in the September, 2022 tasting report: Mexico Coffee: Processing Innovation, Cooperatives, and the Tradition of Collaboration"
505,"Dragonfly Coffee Roasters
Elida Estate Dragonfly Catuai Lot 13
|Roaster Location:
|Henderson, Nevada
|Coffee Origin:
|Boquete growing region, western Panama
|Roast Level:
|Medium-Light
|Agtron:
|55/71
|Est. Price:
|$22.50/12 ounces
|Review Date:
|October 2021
|Aroma:
|10
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|7
Blind Assessment
Crisply sweet-tart, richly wood-framed. Rhododendron, blueberry, rum barrel, chocolate fudge, pecan praline in aroma and cup. Brightly sweet structure with winy acidity; viscous, satiny mouthfeel. Crisp, drying finish that leads with notes of oak barrel and deep chocolate.
Notes
Produced by the Lamastus family of Elida Estate entirely of the Catuaí variety of Arabica and processed by the natural method (dried in the whole fruit). Now based in Henderson, Nevada, Dragonfly Coffee was named 2019 Micro-Roaster of the Year by Roast magazine. Visit www.dragonflycoffeeroasters.com or call 303-579-2154 for more information.
Bottom Line
A fruit-toned, chocolaty natural-processed Catuaí from Panama’s Elida Estate distinguished by a rich aromatic wood note suggesting barrel-aged rum.
Explore Similar Coffees
Click here for more reviews from Dragonfly Coffee Roasters
Click here for more information about coffees from Panama"
506,"Evie's Cafe
Colombia La Gallera Estate
|Roaster Location:
|Chia-Yi, Taiwan
|Coffee Origin:
|Tolima Department, Colombia
|Roast Level:
|Light
|Agtron:
|64/84
|Est. Price:
|NT $620/8 ounces
|Review Date:
|February 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Gently bright, richly floral. Raspberry, dark chocolate, macadamia nut, star jasmine, maple syrup in aroma and cup. Sweet-tart-savory structure with straightforward acidity; plush, velvety-smooth mouthfeel. Quietly juicy, round finish with notes of raspberry and dark chocolate.
Notes
Produced by Jose Juaquin of La Gallera Estate from trees of the admired Bourbon and Sidra varieties of Arabica and processed by the honey method, in which some fruit flesh (“honey”) is allowed to adhere to the beans during drying. Evie’s Café, based in Chia-Yi Taiwan, specializes in fine roasted coffees as well as pour-overs and cold-brews. Visit https://m.facebook.com/eviescafe88/ for more information.
Bottom Line
A honey-processed Colombia with the vibrant sweetness and elegant balance we might expect from a coffee composed of the distinguished Sidra and Bourbon varieties.
Explore Similar Coffees
Click here for more reviews from Evie's Cafe
Click here for more information about coffees from Colombia
This review originally appeared in the February, 2021 tasting report: Colombia Coffee 2021: Best of Both Worlds or Identity Crisis?"
507,"|Roaster Location:
|Lexington, Virginia
|Coffee Origin:
|Mbozi, Mbeya growing region, southwestern Tanzania
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|$18.75/12 ounces
|Review Date:
|June 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Balanced, vibrant, complex. Mulberry, dark chocolate, mustard seed, star jasmine, sandalwood in aroma and cup. Juicy-bright structure with vibrant phosphoric acidity; very full, syrupy mouthfeel. Long, flavor-saturated finish.
Notes
This exceptional coffee was selected as the No. 18 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. Produced at Mimba Estate from trees of the admired Bourbon and Kent varieties of Arabica, and processed by the washed method. Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.
Bottom Line
A deeply pleasing Tanzania cup, multi-layered and complete — richly sweet, deeply savory, spice-toned and floral.
Explore Similar Coffees
Click here for more reviews from Roadmap CoffeeWorks
Click here for more information about coffees from Tanzania"
508,"|Roaster Location:
|Taipei, Taiwan
|Coffee Origin:
|Guji Zone, Oromia Region, southern Ethiopia
|Roast Level:
|Light
|Agtron:
|62/84
|Est. Price:
|NT $399/8 ounces
|Review Date:
|November 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Delicately fruity, spice-toned. Red plum, ginger blossom, cocoa nib, lemon balm, maple syrup in aroma and cup. Gently vibrant structure with round acidity; viscous, satiny mouthfeel. Cocoa-toned finish, supported by notes of lemon balm and maple syrup.
Notes
Guji is a now celebrated growing region nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions. This coffee was processed by the anaerobic natural method, in which the whole fruit is fermented in an oxygen-free environment before drying. Buon Caffe is a specialty coffee roaster and cafe in Taipei, Taiwan. Visit www.buoncaffe.com.tw for more information.
Bottom Line
An interesting spice-toned anaerobic Ethiopia cup — nuanced and rich with an especially buoyant, lively mouthfeel.
Explore Similar Coffees
Click here for more reviews from Buon Caffe
Click here for more information about coffees from Ethiopia"
509,"|Roaster Location:
|Chiya-Yi, Taiwan
|Coffee Origin:
|Tierras Altas, Chiriquí Province, Panama
|Roast Level:
|Medium-Light
|Agtron:
|59/81
|Est. Price:
|NT $1250/4 ounces
|Review Date:
|December 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|10
|Aftertaste:
|9
Blind Assessment
High-toned, elegantly floral, intricately balanced. Concord grape, frankincense, aromatic orchid, candy cap mushroom, cocoa nib in aroma and cup. Deeply sweet-savory structure with bright, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish goes on and on.
Notes
Produced at Finca Mi Finquita, Panama, entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). Kakalove Cafe is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.
Bottom Line
A distinctively composed fruit- and flower-bomb with an umami undercurrent.
Explore Similar Coffees
Click here for more reviews from Kakalove Cafe
Click here for more information about coffees from Panama"
510,"|Roaster Location:
|Durango, Colorado
|Coffee Origin:
|South-central Kenya
|Roast Level:
|Medium-Light
|Agtron:
|54/74
|Est. Price:
|$16.95/12 ounces
|Review Date:
|March 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Cocoa-toned, richly floral. Honeysuckle, cocoa nib, red currant, cedar, pink grapefruit zest in aroma and cup. Brightly sweet-tart structure with balanced acidity; smooth, lightly creamy mouthfeel. Finish is resonant, redolent with red currant, cocoa nib and cedar notes.
Notes
Despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information.
Bottom Line
Cocoa-driven, floral-framed, with rich cedar and dark red fruit notes throughout; a classic Kenya cup.
Explore Similar Coffees
Click here for more reviews from Durango Coffee Company
Click here for more information about coffees from Kenya"
511,"|Roaster Location:
|Yilan, Taiwan
|Coffee Origin:
|Mercedes Sur, Turrubares, San José Province, Costa Rica
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|NT $600/200 grams
|Review Date:
|July 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deeply sweet-savory, unusual. Caramel, goat milk yogurt, raspberry, cedar, sage in aroma and cup. Richly bittersweet in structure with bright acidity; syrupy mouthfeel. Savory-leaning finish with undertones of caramel and sage.
Notes
Produced at San Gabriel Farm entirely of the admired SL28 variety of Arabica, and processed by the anaerobic natural method (whole fruit is fermented with limited oxygen before drying). GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected].
Bottom Line
An appealingly oddball anaerobic coffee from Costa Rica with umami depth, zingy acidity and an eccentric, unconventional flavor profile.
Explore Similar Coffees
Click here for more reviews from GK Coffee
Click here for more information about coffees from Costa Rica"
